Recipient_Gender,Recipient_Age,Relationship_Status,Budget,Occasion,Preference,Relationship_Length,Personal_Interest,Special_Note,Gift_Popularity,Gift_Purpose,Past_Gift_Reaction,Delivery_Method,Gift_Wrapping_Preference,Best_Gift
Non-Binary,41,Married,High ($100-$500),Anniversary Valentine,Fun,3+ years,Cooking,Handmade gifts appreciated,Very Popular,Apology,Never Given Gift Before,Online Delivery,No Wrapping,Chocolates
Other,52,Engaged,Luxury (>$500),First Valentine,Luxury,6 months - 1 year,Cooking,Has allergies,Very Popular,Expression of Love,Neutral,Online Delivery,Minimalist,Jewelry
Non-Binary,54,Married,Medium ($20-$100),First Valentine,Practical,3+ years,Reading,Has allergies,Rare Choice,Expression of Love,Never Given Gift Before,In-Person,Fancy Wrapping,"Experience (Trip, Dinner, etc.)"
Female,43,Single,Medium ($20-$100),Anniversary Valentine,Practical,3+ years,Art,Tech-savvy,Moderately Popular,Spontaneous Surprise,Highly Appreciated,Planned Surprise,Eco-Friendly,Flowers
Non-Binary,18,Engaged,Luxury (>$500),Anniversary Valentine,Fun,6 months - 1 year,Gaming,Tech-savvy,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,No Wrapping,Fashion Accessories
Non-Binary,51,Married,High ($100-$500),First Valentine,Fun,<6 months,Sports,Handmade gifts appreciated,Rare Choice,Celebration,Neutral,In-Person,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,28,Single,Low (<$20),Anniversary Valentine,Surprise,<6 months,Fitness,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Never Given Gift Before,Planned Surprise,Eco-Friendly,Flowers
Male,41,Complicated,Medium ($20-$100),Casual Valentine,Romantic,1-3 years,Gaming,Prefers experiences over items,Moderately Popular,Expression of Love,Disliked,Planned Surprise,Minimalist,Perfume
Other,39,Complicated,Low (<$20),Casual Valentine,Luxury,<6 months,Art,Loves surprises,Moderately Popular,Apology,Never Given Gift Before,In-Person,Minimalist,Flowers
Non-Binary,57,Engaged,High ($100-$500),First Valentine,Practical,3+ years,Fashion,Tech-savvy,Rare Choice,Apology,Neutral,Online Delivery,Minimalist,Chocolates
Male,37,Engaged,Low (<$20),Long-Distance Valentine,Sentimental,<6 months,Fashion,Has allergies,Very Popular,Celebration,Disliked,In-Person,Eco-Friendly,Handmade Gift
Non-Binary,33,Engaged,Luxury (>$500),Anniversary Valentine,Practical,<6 months,Cooking,Prefers experiences over items,Very Popular,Apology,Neutral,Courier,Fancy Wrapping,Perfume
Other,28,Engaged,Low (<$20),Casual Valentine,Sentimental,6 months - 1 year,Fashion,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Neutral,In-Person,Eco-Friendly,Subscription Service
Female,23,Complicated,High ($100-$500),First Valentine,Sentimental,<6 months,Reading,Has allergies,Very Popular,Apology,Highly Appreciated,In-Person,No Wrapping,Fashion Accessories
Non-Binary,40,Married,Luxury (>$500),Casual Valentine,Sentimental,1-3 years,Sports,Prefers practical gifts,Very Popular,Apology,Never Given Gift Before,Online Delivery,Eco-Friendly,Jewelry
Non-Binary,58,Complicated,Luxury (>$500),Anniversary Valentine,Luxury,3+ years,Cooking,Loves surprises,Moderately Popular,Celebration,Never Given Gift Before,Planned Surprise,Fancy Wrapping,Personalized Gift
Other,27,Single,Luxury (>$500),Casual Valentine,Luxury,6 months - 1 year,Music,Tech-savvy,Moderately Popular,Expression of Love,Neutral,Planned Surprise,Eco-Friendly,Fashion Accessories
Female,44,Dating,Luxury (>$500),Long-Distance Valentine,Practical,<6 months,Reading,Enjoys luxury items,Rare Choice,Celebration,Neutral,In-Person,Fancy Wrapping,Tech Gadgets
Non-Binary,47,Engaged,High ($100-$500),First Valentine,Romantic,<6 months,Fashion,Prefers experiences over items,Rare Choice,Apology,Highly Appreciated,In-Person,Eco-Friendly,Perfume
Female,46,Engaged,High ($100-$500),First Valentine,Luxury,<6 months,Fashion,Has allergies,Very Popular,Celebration,Never Given Gift Before,Online Delivery,Eco-Friendly,Chocolates
Male,44,Complicated,Luxury (>$500),First Valentine,Surprise,3+ years,Music,Enjoys luxury items,Very Popular,Apology,Never Given Gift Before,Courier,Fancy Wrapping,Handmade Gift
Non-Binary,18,Complicated,Low (<$20),Long-Distance Valentine,Romantic,3+ years,Music,Prefers experiences over items,Rare Choice,Celebration,Highly Appreciated,In-Person,No Wrapping,Jewelry
Male,54,Complicated,Medium ($20-$100),Casual Valentine,Fun,6 months - 1 year,Gaming,Enjoys luxury items,Very Popular,Apology,Disliked,Online Delivery,Minimalist,Perfume
Female,59,Complicated,Luxury (>$500),Anniversary Valentine,Fun,3+ years,Reading,Prefers experiences over items,Very Popular,Spontaneous Surprise,Neutral,Online Delivery,No Wrapping,Jewelry
Non-Binary,48,Dating,High ($100-$500),Anniversary Valentine,Surprise,<6 months,Gaming,Handmade gifts appreciated,Very Popular,Celebration,Disliked,Online Delivery,Eco-Friendly,Perfume
Other,56,Dating,Low (<$20),Long-Distance Valentine,Practical,6 months - 1 year,Travel,Prefers experiences over items,Very Popular,Expression of Love,Highly Appreciated,Online Delivery,Fancy Wrapping,Subscription Service
Other,34,Single,Luxury (>$500),First Valentine,Practical,3+ years,Art,Loves surprises,Moderately Popular,Expression of Love,Highly Appreciated,Online Delivery,Eco-Friendly,Chocolates
Female,28,Single,Luxury (>$500),Anniversary Valentine,Surprise,<6 months,Fitness,Prefers practical gifts,Very Popular,Expression of Love,Neutral,In-Person,No Wrapping,"Experience (Trip, Dinner, etc.)"
Male,44,Single,Low (<$20),Long-Distance Valentine,Luxury,<6 months,Fashion,Enjoys luxury items,Very Popular,Celebration,Never Given Gift Before,Courier,No Wrapping,Chocolates
Female,24,Complicated,Luxury (>$500),First Valentine,Sentimental,1-3 years,Reading,Tech-savvy,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Female,23,Engaged,High ($100-$500),First Valentine,Sentimental,3+ years,Reading,Enjoys luxury items,Moderately Popular,Celebration,Never Given Gift Before,Online Delivery,Eco-Friendly,Fashion Accessories
Male,23,Complicated,High ($100-$500),Long-Distance Valentine,Practical,6 months - 1 year,Gaming,Prefers practical gifts,Moderately Popular,Expression of Love,Never Given Gift Before,In-Person,Minimalist,Subscription Service
Male,42,Complicated,Medium ($20-$100),Long-Distance Valentine,Luxury,<6 months,Fashion,Prefers practical gifts,Very Popular,Spontaneous Surprise,Neutral,Planned Surprise,No Wrapping,Chocolates
Male,25,Engaged,Medium ($20-$100),First Valentine,Luxury,1-3 years,Cooking,Prefers practical gifts,Moderately Popular,Apology,Never Given Gift Before,Courier,Minimalist,Flowers
Female,42,Engaged,Luxury (>$500),Anniversary Valentine,Practical,6 months - 1 year,Fashion,Has allergies,Rare Choice,Expression of Love,Disliked,Courier,Minimalist,Perfume
Male,35,Engaged,Medium ($20-$100),Casual Valentine,Sentimental,<6 months,Music,Prefers practical gifts,Very Popular,Apology,Highly Appreciated,Online Delivery,Fancy Wrapping,Flowers
Other,38,Dating,High ($100-$500),Long-Distance Valentine,Practical,6 months - 1 year,Reading,Enjoys luxury items,Rare Choice,Expression of Love,Highly Appreciated,Planned Surprise,Fancy Wrapping,Personalized Gift
Non-Binary,39,Married,Low (<$20),Anniversary Valentine,Luxury,6 months - 1 year,Art,Tech-savvy,Moderately Popular,Expression of Love,Never Given Gift Before,Planned Surprise,Minimalist,Jewelry
Non-Binary,56,Single,Low (<$20),First Valentine,Sentimental,1-3 years,Gaming,Enjoys luxury items,Very Popular,Apology,Never Given Gift Before,Planned Surprise,Eco-Friendly,Jewelry
Non-Binary,54,Complicated,Luxury (>$500),Casual Valentine,Sentimental,1-3 years,Reading,Has allergies,Rare Choice,Spontaneous Surprise,Highly Appreciated,Online Delivery,Fancy Wrapping,Tech Gadgets
Non-Binary,21,Complicated,Luxury (>$500),Anniversary Valentine,Surprise,<6 months,Music,Loves surprises,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,Courier,No Wrapping,Personalized Gift
Male,58,Engaged,High ($100-$500),Casual Valentine,Practical,6 months - 1 year,Art,Tech-savvy,Rare Choice,Apology,Neutral,Planned Surprise,No Wrapping,Jewelry
Female,24,Dating,High ($100-$500),Long-Distance Valentine,Practical,1-3 years,Cooking,Enjoys luxury items,Very Popular,Celebration,Neutral,Courier,Minimalist,Flowers
Female,36,Complicated,Low (<$20),Anniversary Valentine,Sentimental,<6 months,Sports,Enjoys luxury items,Moderately Popular,Apology,Highly Appreciated,Courier,Fancy Wrapping,Personalized Gift
Other,59,Engaged,Luxury (>$500),Long-Distance Valentine,Sentimental,1-3 years,Travel,Loves surprises,Rare Choice,Celebration,Never Given Gift Before,Online Delivery,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Male,59,Single,Medium ($20-$100),First Valentine,Surprise,1-3 years,Sports,Has allergies,Moderately Popular,Celebration,Disliked,In-Person,Eco-Friendly,Perfume
Non-Binary,34,Married,Medium ($20-$100),Casual Valentine,Surprise,<6 months,Travel,Has allergies,Very Popular,Celebration,Neutral,In-Person,No Wrapping,Personalized Gift
Other,51,Married,Luxury (>$500),Anniversary Valentine,Romantic,3+ years,Travel,Loves surprises,Very Popular,Apology,Never Given Gift Before,Online Delivery,Fancy Wrapping,Perfume
Other,36,Complicated,Low (<$20),Casual Valentine,Surprise,6 months - 1 year,Cooking,Enjoys luxury items,Moderately Popular,Celebration,Neutral,In-Person,Minimalist,"Experience (Trip, Dinner, etc.)"
Female,19,Single,Low (<$20),Long-Distance Valentine,Sentimental,1-3 years,Cooking,Has allergies,Moderately Popular,Apology,Neutral,Planned Surprise,No Wrapping,Chocolates
Female,54,Engaged,Medium ($20-$100),Anniversary Valentine,Romantic,<6 months,Fitness,Handmade gifts appreciated,Very Popular,Apology,Never Given Gift Before,In-Person,Fancy Wrapping,Fashion Accessories
Male,39,Dating,Luxury (>$500),Casual Valentine,Surprise,1-3 years,Art,Tech-savvy,Very Popular,Expression of Love,Neutral,Courier,No Wrapping,Handmade Gift
Female,52,Engaged,Medium ($20-$100),Casual Valentine,Luxury,6 months - 1 year,Music,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Neutral,Online Delivery,Minimalist,Flowers
Male,58,Married,Luxury (>$500),Long-Distance Valentine,Sentimental,1-3 years,Cooking,Has allergies,Moderately Popular,Expression of Love,Disliked,Planned Surprise,Eco-Friendly,"Experience (Trip, Dinner, etc.)"
Male,55,Single,Medium ($20-$100),Long-Distance Valentine,Luxury,3+ years,Fashion,Enjoys luxury items,Moderately Popular,Celebration,Highly Appreciated,In-Person,No Wrapping,Handmade Gift
Female,50,Single,Luxury (>$500),Long-Distance Valentine,Surprise,<6 months,Fitness,Prefers practical gifts,Very Popular,Apology,Highly Appreciated,Online Delivery,Minimalist,"Experience (Trip, Dinner, etc.)"
Non-Binary,45,Complicated,High ($100-$500),Long-Distance Valentine,Luxury,3+ years,Cooking,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Disliked,Online Delivery,Fancy Wrapping,Flowers
Female,46,Complicated,Luxury (>$500),First Valentine,Sentimental,<6 months,Reading,Prefers practical gifts,Very Popular,Spontaneous Surprise,Highly Appreciated,Courier,Fancy Wrapping,Tech Gadgets
Other,59,Single,Low (<$20),Casual Valentine,Practical,1-3 years,Gaming,Prefers practical gifts,Very Popular,Celebration,Disliked,Planned Surprise,No Wrapping,"Experience (Trip, Dinner, etc.)"
Female,30,Complicated,Medium ($20-$100),Casual Valentine,Sentimental,6 months - 1 year,Fitness,Prefers practical gifts,Moderately Popular,Apology,Neutral,Planned Surprise,Fancy Wrapping,Flowers
Male,18,Married,Medium ($20-$100),First Valentine,Practical,1-3 years,Technology,Enjoys luxury items,Moderately Popular,Expression of Love,Highly Appreciated,Courier,No Wrapping,Flowers
Other,22,Dating,Medium ($20-$100),First Valentine,Fun,6 months - 1 year,Reading,Tech-savvy,Moderately Popular,Spontaneous Surprise,Disliked,Courier,Minimalist,Subscription Service
Female,49,Single,Luxury (>$500),Long-Distance Valentine,Practical,3+ years,Reading,Has allergies,Very Popular,Celebration,Disliked,Online Delivery,No Wrapping,Perfume
Male,52,Engaged,Low (<$20),Casual Valentine,Luxury,1-3 years,Fashion,Loves surprises,Rare Choice,Expression of Love,Highly Appreciated,Online Delivery,Minimalist,"Experience (Trip, Dinner, etc.)"
Male,44,Single,Medium ($20-$100),Long-Distance Valentine,Sentimental,6 months - 1 year,Reading,Prefers practical gifts,Very Popular,Celebration,Never Given Gift Before,Courier,Minimalist,Subscription Service
Other,29,Single,Luxury (>$500),Long-Distance Valentine,Sentimental,3+ years,Sports,Has allergies,Rare Choice,Apology,Highly Appreciated,Planned Surprise,No Wrapping,Handmade Gift
Non-Binary,39,Engaged,Low (<$20),First Valentine,Sentimental,6 months - 1 year,Art,Prefers practical gifts,Rare Choice,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Subscription Service
Male,42,Engaged,Luxury (>$500),Anniversary Valentine,Surprise,<6 months,Music,Prefers experiences over items,Very Popular,Celebration,Disliked,Planned Surprise,Eco-Friendly,Jewelry
Female,32,Married,Luxury (>$500),Casual Valentine,Surprise,6 months - 1 year,Fashion,Has allergies,Rare Choice,Expression of Love,Never Given Gift Before,In-Person,Fancy Wrapping,Handmade Gift
Other,51,Complicated,Low (<$20),First Valentine,Luxury,6 months - 1 year,Cooking,Enjoys luxury items,Very Popular,Apology,Never Given Gift Before,Online Delivery,No Wrapping,Jewelry
Female,45,Dating,Medium ($20-$100),Anniversary Valentine,Sentimental,3+ years,Gaming,Handmade gifts appreciated,Very Popular,Expression of Love,Highly Appreciated,In-Person,Minimalist,Tech Gadgets
Male,22,Dating,Luxury (>$500),First Valentine,Fun,1-3 years,Reading,Handmade gifts appreciated,Very Popular,Spontaneous Surprise,Highly Appreciated,In-Person,Minimalist,Tech Gadgets
Female,57,Dating,Low (<$20),Casual Valentine,Sentimental,3+ years,Technology,Tech-savvy,Very Popular,Celebration,Highly Appreciated,In-Person,Minimalist,Perfume
Female,37,Engaged,High ($100-$500),Anniversary Valentine,Romantic,3+ years,Gaming,Prefers practical gifts,Moderately Popular,Spontaneous Surprise,Neutral,Online Delivery,No Wrapping,Perfume
Female,54,Married,Medium ($20-$100),Long-Distance Valentine,Practical,3+ years,Fitness,Enjoys luxury items,Rare Choice,Expression of Love,Highly Appreciated,In-Person,Minimalist,Jewelry
Male,38,Dating,Medium ($20-$100),Long-Distance Valentine,Practical,3+ years,Reading,Handmade gifts appreciated,Moderately Popular,Spontaneous Surprise,Disliked,Courier,Fancy Wrapping,Perfume
Female,50,Engaged,Low (<$20),Casual Valentine,Surprise,<6 months,Reading,Handmade gifts appreciated,Moderately Popular,Apology,Highly Appreciated,Planned Surprise,No Wrapping,Chocolates
Female,26,Complicated,Luxury (>$500),Anniversary Valentine,Practical,6 months - 1 year,Gaming,Loves surprises,Rare Choice,Apology,Highly Appreciated,Courier,No Wrapping,Jewelry
Other,25,Complicated,High ($100-$500),Casual Valentine,Surprise,<6 months,Technology,Handmade gifts appreciated,Moderately Popular,Expression of Love,Disliked,Online Delivery,Minimalist,"Experience (Trip, Dinner, etc.)"
Male,29,Engaged,Luxury (>$500),Anniversary Valentine,Sentimental,3+ years,Fashion,Prefers practical gifts,Rare Choice,Apology,Neutral,Online Delivery,No Wrapping,Personalized Gift
Other,54,Married,Medium ($20-$100),First Valentine,Surprise,1-3 years,Cooking,Prefers experiences over items,Moderately Popular,Apology,Highly Appreciated,Courier,Minimalist,Jewelry
Female,58,Married,Low (<$20),Anniversary Valentine,Surprise,<6 months,Sports,Tech-savvy,Moderately Popular,Apology,Neutral,In-Person,Eco-Friendly,Flowers
Male,35,Single,Luxury (>$500),First Valentine,Surprise,3+ years,Fashion,Handmade gifts appreciated,Rare Choice,Spontaneous Surprise,Neutral,Planned Surprise,No Wrapping,Personalized Gift
Non-Binary,50,Dating,Luxury (>$500),First Valentine,Romantic,6 months - 1 year,Technology,Has allergies,Very Popular,Spontaneous Surprise,Never Given Gift Before,Courier,No Wrapping,Personalized Gift
Non-Binary,48,Complicated,Low (<$20),Long-Distance Valentine,Practical,<6 months,Art,Loves surprises,Very Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Eco-Friendly,Handmade Gift
Male,46,Engaged,High ($100-$500),First Valentine,Practical,1-3 years,Fitness,Prefers experiences over items,Very Popular,Celebration,Disliked,Planned Surprise,Minimalist,Personalized Gift
Non-Binary,28,Dating,High ($100-$500),Anniversary Valentine,Sentimental,3+ years,Fashion,Prefers experiences over items,Very Popular,Spontaneous Surprise,Neutral,Online Delivery,Fancy Wrapping,Jewelry
Other,38,Complicated,High ($100-$500),Long-Distance Valentine,Sentimental,<6 months,Art,Enjoys luxury items,Moderately Popular,Apology,Disliked,In-Person,Minimalist,Chocolates
Male,32,Engaged,Medium ($20-$100),Long-Distance Valentine,Sentimental,1-3 years,Fashion,Loves surprises,Very Popular,Apology,Neutral,Online Delivery,Minimalist,Fashion Accessories
Other,25,Dating,Low (<$20),Casual Valentine,Practical,3+ years,Cooking,Tech-savvy,Moderately Popular,Spontaneous Surprise,Never Given Gift Before,In-Person,Fancy Wrapping,Subscription Service
Male,41,Single,Medium ($20-$100),Casual Valentine,Romantic,3+ years,Gaming,Has allergies,Rare Choice,Apology,Highly Appreciated,Online Delivery,Fancy Wrapping,Perfume
Other,35,Engaged,Low (<$20),Casual Valentine,Sentimental,3+ years,Fashion,Has allergies,Rare Choice,Celebration,Highly Appreciated,Courier,No Wrapping,Flowers
Male,52,Complicated,Low (<$20),Casual Valentine,Sentimental,6 months - 1 year,Reading,Enjoys luxury items,Moderately Popular,Expression of Love,Highly Appreciated,In-Person,Eco-Friendly,Fashion Accessories
Male,22,Dating,Medium ($20-$100),Casual Valentine,Practical,1-3 years,Fashion,Handmade gifts appreciated,Very Popular,Expression of Love,Neutral,Planned Surprise,Fancy Wrapping,Subscription Service
